Campo,Data,Valore,Tipo,UdM,Tesi,Sorgente,Note,Year,Week
Kiwi 1,2021-10-13,15.30,RSR,° brix,T1,Slide 13,Raccolta commerciale,2021,42
Kiwi 1,2021-10-13,13.70,RSR,° brix,T2,Slide 13,Raccolta commerciale,2021,42
Kiwi 1,2021-10-13,17.20,Sostanza secca,%,T0,Slide 12,Raccolta commerciale,2021,42
Kiwi 1,2021-10-13,18.80,Sostanza secca,%,T1,Slide 12,Raccolta commerciale,2021,42
Kiwi 1,2021-10-13,18.40,Sostanza secca,%,T2,Slide 12,Raccolta commerciale,2021,42
Kiwi 1,2021-12-12,16.10,Colore,H angle,T0,Slide 14,2 mesi di frigo + 24h,2021,52
Kiwi 1,2021-12-12,17.40,Colore,H angle,T1,Slide 14,2 mesi di frigo + 24h,2021,52
Kiwi 1,2021-12-12,16.90,Colore,H angle,T2,Slide 14,2 mesi di frigo + 24h,2021,52
Kiwi 1,2021-12-12,0.88,Durezza,Kg FTA,T0,Slide 14,2 mesi di frigo + 24h,2021,52
Kiwi 1,2021-12-12,0.76,Durezza,Kg FTA,T1,Slide 14,2 mesi di frigo + 24h,2021,52
Kiwi 1,2021-12-12,0.70,Durezza,Kg FTA,T2,Slide 14,2 mesi di frigo + 24h,2021,52
Kiwi 1,2021-12-12,18.20,Sostanza secca,%,T0,Slide 14,2 mesi di frigo + 24h,2021,52
Kiwi 1,2021-12-12,19.20,Sostanza secca,%,T1,Slide 14,2 mesi di frigo + 24h,2021,52
Kiwi 1,2021-12-12,18.80,Sostanza secca,%,T2,Slide 14,2 mesi di frigo + 24h,2021,52
Kiwi 1,2021-12-12,15.40,RSR,° brix,T0,Slide 14,2 mesi di frigo + 3gg shelf life,2021,52
Kiwi 1,2021-12-12,17.20,RSR,° brix,T1,Slide 14,2 mesi di frigo + 3gg shelf life,2021,52
Kiwi 1,2021-12-12,16.80,RSR,° brix,T2,Slide 14,2 mesi di frigo + 3gg shelf life,2021,52
Kiwi 1,2021-12-12,0.68,Durezza,Kg FTA,T0,Slide 14,2 mesi di frigo + 3gg shelf life,2021,52
Kiwi 1,2021-12-12,0.58,Durezza,Kg FTA,T1,Slide 14,2 mesi di frigo + 3gg shelf life,2021,52
Kiwi 1,2021-12-12,0.56,Durezza,Kg FTA,T2,Slide 14,2 mesi di frigo + 3gg shelf life,2021,52
Kiwi 1,2021-12-12,17.10,Sostanza secca,%,T0,Slide 14,2 mesi di frigo + 3gg shelf life,2021,52
Kiwi 1,2021-12-12,19.10,Sostanza secca,%,T1,Slide 14,2 mesi di frigo + 3gg shelf life,2021,52
Kiwi 1,2021-12-12,19.10,Sostanza secca,%,T2,Slide 14,2 mesi di frigo + 3gg shelf life,2021,52
Kiwi 1,2022-06-22,-4.19,Potenziale idrico del fogliare,bar,T0,Slide 12,,2022,26
Kiwi 1,2022-06-22,-4.88,Potenziale idrico del fogliare,bar,T1,Slide 12,,2022,26
Kiwi 1,2022-06-22,-4.75,Potenziale idrico del fogliare,bar,T2,Slide 12,,2022,26
Kiwi 1,2022-07-05,-6.13,Potenziale idrico del fogliare,bar,T0,Slide 12,,2022,28
Kiwi 1,2022-07-05,-4.56,Potenziale idrico del fogliare,bar,T1,Slide 12,,2022,28
Kiwi 1,2022-07-05,-5.00,Potenziale idrico del fogliare,bar,T2,Slide 12,,2022,28
Kiwi 1,2022-07-25,-2.44,Potenziale idrico del fogliare,bar,T0,Slide 12,,2022,32
Kiwi 1,2022-07-25,-3.06,Potenziale idrico del fogliare,bar,T1,Slide 12,,2022,32
Kiwi 1,2022-07-25,-2.73,Potenziale idrico del fogliare,bar,T2,Slide 12,,2022,32
Kiwi 1,2022-08-16,-3.90,Potenziale idrico del fogliare,bar,T0,Slide 12,,2022,34
Kiwi 1,2022-08-16,-4.90,Potenziale idrico del fogliare,bar,T1,Slide 12,,2022,34
Kiwi 1,2022-08-16,-3.30,Potenziale idrico del fogliare,bar,T2,Slide 12,,2022,34
Kiwi 1,2022-10-10,37.40,Produzione commerciale,kg/pianta,T0,Slide 13,Raccolta commerciale,2022,42
Kiwi 1,2022-10-10,117.00,Produzione commerciale,g/frutto,T0,Slide 13,Raccolta commerciale,2022,42
Kiwi 1,2022-10-10,29.70,Produzione commerciale,kg/pianta,T1,Slide 13,Raccolta commerciale,2022,42
Kiwi 1,2022-10-10,122.00,Produzione commerciale,g/frutto,T1,Slide 13,Raccolta commerciale,2022,42
Kiwi 1,2022-10-10,36.20,Produzione commerciale,kg/pianta,T2,Slide 13,Raccolta commerciale,2022,42
Kiwi 1,2022-10-10,119.00,Produzione commerciale,g/frutto,T2,Slide 13,Raccolta commerciale,2022,42
Kiwi 1,2022-10-10,5.20,Durezza,Kg FTA,T0,Slide 14,Raccolta commerciale,2022,42
Kiwi 1,2022-10-10,4.70,Durezza,Kg FTA,T0,Slide 14,Raccolta commerciale,2022,42
Kiwi 1,2022-10-10,4.80,Durezza,Kg FTA,T1,Slide 14,Raccolta commerciale,2022,42
Kiwi 1,2022-10-10,18.60,Sostanza secca,%,T0,Slide 14,Raccolta commerciale,2022,42
Kiwi 1,2022-10-10,18.90,Sostanza secca,%,T1,Slide 14,Raccolta commerciale,2022,42
Kiwi 1,2022-10-10,17.80,Sostanza secca,%,T2,Slide 14,Raccolta commerciale,2022,42
Kiwi 1,2022-10-10,10.50,RSR,° brix,T0,Slide 14,Raccolta commerciale,2022,42
Kiwi 1,2022-10-10,11.70,RSR,° brix,T1,Slide 14,Raccolta commerciale,2022,42
Kiwi 1,2022-10-10,8.90,RSR,° brix,T2,Slide 14,Raccolta commerciale,2022,42
Kiwi 1,2022-10-10,104.00,Colore,H angle,T0,Slide 14,Raccolta commerciale,2022,42
Kiwi 1,2022-10-10,103.00,Colore,H angle,T1,Slide 14,Raccolta commerciale,2022,42
Kiwi 1,2022-10-10,105.00,Colore,H angle,T2,Slide 14,Raccolta commerciale,2022,42
Kiwi 1,2022-12-12,0.94,Durezza,Kg FTA,T0,Slide 15,2 mesi di frigo + 24h,2022,52
Kiwi 1,2022-12-12,0.99,Durezza,Kg FTA,T1,Slide 15,2 mesi di frigo + 24h,2022,52
Kiwi 1,2022-12-12,1.33,Durezza,Kg FTA,T2,Slide 15,2 mesi di frigo + 24h,2022,52
Kiwi 1,2022-12-12,18.60,Sostanza secca,%,T0,Slide 15,2 mesi di frigo + 24h,2022,52
Kiwi 1,2022-12-12,19.00,Sostanza secca,%,T1,Slide 15,2 mesi di frigo + 24h,2022,52
Kiwi 1,2022-12-12,18.80,Sostanza secca,%,T2,Slide 15,2 mesi di frigo + 24h,2022,52
Kiwi 1,2022-12-12,16.20,RSR,° brix,T0,Slide 15,2 mesi di frigo + 24h,2022,52
Kiwi 1,2022-12-12,16.60,RSR,° brix,T1,Slide 15,2 mesi di frigo + 24h,2022,52
Kiwi 1,2022-12-12,15.90,RSR,° brix,T2,Slide 15,2 mesi di frigo + 24h,2022,52
Kiwi 1,2022-12-12,0.65,Durezza,Kg FTA,T0,Slide 15,2 mesi di frigo + 3gg shelf life,2022,52
Kiwi 1,2022-12-12,0.55,Durezza,Kg FTA,T1,Slide 15,2 mesi di frigo + 3gg shelf life,2022,52
Kiwi 1,2022-12-12,0.48,Durezza,Kg FTA,T2,Slide 15,2 mesi di frigo + 3gg shelf life,2022,52
Kiwi 1,2022-12-12,18.90,Sostanza secca,%,T0,Slide 15,2 mesi di frigo + 3gg shelf life,2022,52
Kiwi 1,2022-12-12,19.00,Sostanza secca,%,T1,Slide 15,2 mesi di frigo + 3gg shelf life,2022,52
Kiwi 1,2022-12-12,18.20,Sostanza secca,%,T2,Slide 15,2 mesi di frigo + 3gg shelf life,2022,52
Kiwi 1,2022-12-12,17.20,RSR,° brix,T0,Slide 15,2 mesi di frigo + 3gg shelf life,2022,52
Kiwi 1,2022-12-12,17.30,RSR,° brix,T1,Slide 15,2 mesi di frigo + 3gg shelf life,2022,52
Kiwi 1,2022-12-12,17.40,RSR,° brix,T2,Slide 15,2 mesi di frigo + 3gg shelf life,2022,52
Kiwi 1,2023-07-14,51.60,Calibro del frutto,mm,T0,Slide 9,,2023,28
Kiwi 1,2023-07-14,52.10,Calibro del frutto,mm,T1,Slide 9,,2023,28
Kiwi 1,2023-07-14,53.30,Calibro del frutto,mm,T2,Slide 9,,2023,28
Kiwi 1,2023-07-14,108.00,Peso,g/frutto,T0,Slide 9,,2023,28
Kiwi 1,2023-07-14,109.00,Peso,g/frutto,T1,Slide 9,,2023,28
Kiwi 1,2023-07-14,114.00,Peso,g/frutto,T2,Slide 9,,2023,28
Kiwi 1,2023-07-14,-4.25,Potenziale idrico del fusto,bar,T0,Slide 7,,2023,28
Kiwi 1,2023-07-14,-4.33,Potenziale idrico del fusto,bar,T1,Slide 7,,2023,28
Kiwi 1,2023-07-14,-4.47,Potenziale idrico del fusto,bar,T2,Slide 7,,2023,28
Kiwi 1,2023-07-14,9.10,Sostanza secca,%,T0,Slide 9,,2023,28
Kiwi 1,2023-07-14,9.40,Sostanza secca,%,T1,Slide 9,,2023,28
Kiwi 1,2023-07-14,8.80,Sostanza secca,%,T2,Slide 9,,2023,28
Kiwi 1,2023-07-28,53.50,Calibro del frutto,mm,T0,Slide 9,,2023,30
Kiwi 1,2023-07-28,52.70,Calibro del frutto,mm,T1,Slide 9,,2023,30
Kiwi 1,2023-07-28,53.30,Calibro del frutto,mm,T2,Slide 9,,2023,30
Kiwi 1,2023-07-28,126.00,Peso,g/frutto,T0,Slide 9,,2023,30
Kiwi 1,2023-07-28,124.00,Peso,g/frutto,T1,Slide 9,,2023,30
Kiwi 1,2023-07-28,125.00,Peso,g/frutto,T2,Slide 9,,2023,30
Kiwi 1,2023-07-28,-4.78,Potenziale idrico del fusto,bar,T0,Slide 7,,2023,30
Kiwi 1,2023-07-28,-4.37,Potenziale idrico del fusto,bar,T1,Slide 7,,2023,30
Kiwi 1,2023-07-28,-4.47,Potenziale idrico del fusto,bar,T2,Slide 7,,2023,30
Kiwi 1,2023-07-28,10.70,Sostanza secca,%,T0,Slide 9,,2023,30
Kiwi 1,2023-07-28,10.70,Sostanza secca,%,T1,Slide 9,,2023,30
Kiwi 1,2023-07-28,10.70,Sostanza secca,%,T2,Slide 9,,2023,30
Kiwi 1,2023-08-11,53.50,Calibro del frutto,mm,T0,Slide 9,,2023,32
Kiwi 1,2023-08-11,53.20,Calibro del frutto,mm,T1,Slide 9,,2023,32
Kiwi 1,2023-08-11,54.30,Calibro del frutto,mm,T2,Slide 9,,2023,32
Kiwi 1,2023-08-11,128.00,Peso,g/frutto,T0,Slide 9,,2023,32
Kiwi 1,2023-08-11,130.00,Peso,g/frutto,T1,Slide 9,,2023,32
Kiwi 1,2023-08-11,128.00,Peso,g/frutto,T2,Slide 9,,2023,32
Kiwi 1,2023-08-11,-4.07,Potenziale idrico del fusto,bar,T0,Slide 7,,2023,32
Kiwi 1,2023-08-11,-4.83,Potenziale idrico del fusto,bar,T1,Slide 7,,2023,32
Kiwi 1,2023-08-11,-3.92,Potenziale idrico del fusto,bar,T2,Slide 7,,2023,32
Kiwi 1,2023-08-11,12.80,Sostanza secca,%,T0,Slide 9,,2023,32
Kiwi 1,2023-08-11,14.00,Sostanza secca,%,T1,Slide 9,,2023,32
Kiwi 1,2023-08-11,12.70,Sostanza secca,%,T2,Slide 9,,2023,32
Kiwi 1,2023-08-22,54.10,Calibro del frutto,mm,T0,Slide 9,,2023,34
Kiwi 1,2023-08-22,54.10,Calibro del frutto,mm,T1,Slide 9,,2023,34
Kiwi 1,2023-08-22,54.60,Calibro del frutto,mm,T2,Slide 9,,2023,34
Kiwi 1,2023-08-22,115.20,Colore,H angle,T0,Slide 10,,2023,34
Kiwi 1,2023-08-22,115.20,Colore,H angle,T1,Slide 10,,2023,34
Kiwi 1,2023-08-22,115.50,Colore,H angle,T2,Slide 10,,2023,34
Kiwi 1,2023-08-22,5.60,Durezza,Kg FTA,T0,Slide 10,,2023,34
Kiwi 1,2023-08-22,6.35,Durezza,Kg FTA,T1,Slide 10,,2023,34
Kiwi 1,2023-08-22,5.55,Durezza,Kg FTA,T2,Slide 10,,2023,34
Kiwi 1,2023-08-22,132.00,Peso,g/frutto,T0,Slide 9,,2023,34
Kiwi 1,2023-08-22,140.00,Peso,g/frutto,T1,Slide 9,,2023,34
Kiwi 1,2023-08-22,136.00,Peso,g/frutto,T2,Slide 9,,2023,34
Kiwi 1,2023-08-22,-3.25,Potenziale idrico del fusto,bar,T0,Slide 7,,2023,34
Kiwi 1,2023-08-22,-3.62,Potenziale idrico del fusto,bar,T1,Slide 7,,2023,34
Kiwi 1,2023-08-22,-3.75,Potenziale idrico del fusto,bar,T2,Slide 7,,2023,34
Kiwi 1,2023-08-22,4.84,RSR,° brix,T0,Slide 10,,2023,34
Kiwi 1,2023-08-22,5.32,RSR,° brix,T1,Slide 10,,2023,34
Kiwi 1,2023-08-22,4.87,RSR,° brix,T2,Slide 10,,2023,34
Kiwi 1,2023-08-22,13.30,Sostanza secca,%,T0,Slide 9,,2023,34
Kiwi 1,2023-08-22,14.70,Sostanza secca,%,T1,Slide 9,,2023,34
Kiwi 1,2023-08-22,12.90,Sostanza secca,%,T2,Slide 9,,2023,34
Kiwi 1,2023-09-06,54.40,Calibro del frutto,mm,T0,Slide 9,,2023,36
Kiwi 1,2023-09-06,54.60,Calibro del frutto,mm,T1,Slide 9,,2023,36
Kiwi 1,2023-09-06,54.80,Calibro del frutto,mm,T2,Slide 9,,2023,36
Kiwi 1,2023-09-06,,Colore,H angle,T0,Slide 10,,2023,36
Kiwi 1,2023-09-06,,Colore,H angle,T1,Slide 10,,2023,36
Kiwi 1,2023-09-06,,Colore,H angle,T2,Slide 10,,2023,36
Kiwi 1,2023-09-06,6.16,Durezza,Kg FTA,T0,Slide 10,,2023,36
Kiwi 1,2023-09-06,6.48,Durezza,Kg FTA,T1,Slide 10,,2023,36
Kiwi 1,2023-09-06,6.05,Durezza,Kg FTA,T2,Slide 10,,2023,36
Kiwi 1,2023-09-06,135.00,Peso,g/frutto,T0,Slide 9,,2023,36
Kiwi 1,2023-09-06,141.00,Peso,g/frutto,T1,Slide 9,,2023,36
Kiwi 1,2023-09-06,140.00,Peso,g/frutto,T2,Slide 9,,2023,36
Kiwi 1,2023-09-06,-2.50,Potenziale idrico del fusto,bar,T0,Slide 7,,2023,36
Kiwi 1,2023-09-06,-2.07,Potenziale idrico del fusto,bar,T1,Slide 7,,2023,36
Kiwi 1,2023-09-06,-2.25,Potenziale idrico del fusto,bar,T2,Slide 7,,2023,36
Kiwi 1,2023-09-06,5.56,RSR,° brix,T0,Slide 10,,2023,36
Kiwi 1,2023-09-06,5.71,RSR,° brix,T1,Slide 10,,2023,36
Kiwi 1,2023-09-06,5.43,RSR,° brix,T2,Slide 10,,2023,36
Kiwi 1,2023-09-06,14.80,Sostanza secca,%,T0,Slide 9,,2023,36
Kiwi 1,2023-09-06,15.60,Sostanza secca,%,T1,Slide 9,,2023,36
Kiwi 1,2023-09-06,14.40,Sostanza secca,%,T2,Slide 9,,2023,36
Kiwi 1,2023-09-20,54.60,Calibro del frutto,mm,T0,Slide 9,,2023,38
Kiwi 1,2023-09-20,54.90,Calibro del frutto,mm,T1,Slide 9,,2023,38
Kiwi 1,2023-09-20,54.80,Calibro del frutto,mm,T2,Slide 9,,2023,38
Kiwi 1,2023-09-20,111.80,Colore,H angle,T0,Slide 10,,2023,38
Kiwi 1,2023-09-20,110.60,Colore,H angle,T1,Slide 10,,2023,38
Kiwi 1,2023-09-20,111.50,Colore,H angle,T2,Slide 10,,2023,38
Kiwi 1,2023-09-20,6.08,Durezza,Kg FTA,T0,Slide 10,,2023,38
Kiwi 1,2023-09-20,6.08,Durezza,Kg FTA,T1,Slide 10,,2023,38
Kiwi 1,2023-09-20,6.19,Durezza,Kg FTA,T2,Slide 10,,2023,38
Kiwi 1,2023-09-20,136.00,Peso,g/frutto,T0,Slide 9,,2023,38
Kiwi 1,2023-09-20,142.00,Peso,g/frutto,T1,Slide 9,,2023,38
Kiwi 1,2023-09-20,142.00,Peso,g/frutto,T2,Slide 9,,2023,38
Kiwi 1,2023-09-20,-2.72,Potenziale idrico del fusto,bar,T0,Slide 7,,2023,38
Kiwi 1,2023-09-20,-2.87,Potenziale idrico del fusto,bar,T1,Slide 7,,2023,38
Kiwi 1,2023-09-20,-2.53,Potenziale idrico del fusto,bar,T2,Slide 7,,2023,38
Kiwi 1,2023-09-20,5.58,RSR,° brix,T0,Slide 10,,2023,38
Kiwi 1,2023-09-20,5.88,RSR,° brix,T1,Slide 10,,2023,38
Kiwi 1,2023-09-20,5.91,RSR,° brix,T2,Slide 10,,2023,38
Kiwi 1,2023-09-20,16.00,Sostanza secca,%,T0,Slide 9,,2023,38
Kiwi 1,2023-09-20,16.70,Sostanza secca,%,T1,Slide 9,,2023,38
Kiwi 1,2023-09-20,16.00,Sostanza secca,%,T2,Slide 9,,2023,38
Kiwi 1,2023-10-10,104.60,Colore,H angle,T0,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,102.90,Colore,H angle,T1,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,104.90,Colore,H angle,T2,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,5.50,Durezza,Kg FTA,T0,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,5.20,Durezza,Kg FTA,T1,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,5.61,Durezza,Kg FTA,T2,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,35.7,Produzione commerciale,kg/pianta,T0,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,143,Produzione commerciale,g/frutto,T0,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,31.8,Produzione commerciale,kg/pianta,T1,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,141,Produzione commerciale,g/frutto,T1,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,43.5,Produzione commerciale,kg/pianta,T2,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,155,Produzione commerciale,g/frutto,T2,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,1.74,Produzione non commerciale,kg/pianta,T0,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,4.7,Produzione non commerciale,%,T0,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,1.88,Produzione non commerciale,kg/pianta,T1,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,5.6,Produzione non commerciale,%,T1,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,1.42,Produzione non commerciale,kg/pianta,T2,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,3.1,Produzione non commerciale,%,T2,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,37.5,Produzione totale,kg/pianta,T0,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,39.7,Produzione totale,t/ha,T0,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,33.7,Produzione totale,kg/pianta,T1,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,35.4,Produzione totale,t/ha,T1,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,44.9,Produzione totale,kg/pianta,T2,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,48.4,Produzione totale,t/ha,T2,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,10.10,RSR,° brix,T0,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,11.60,RSR,° brix,T1,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,8.80,RSR,° brix,T2,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,17.40,Sostanza secca,%,T0,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,18.20,Sostanza secca,%,T1,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,17.20,Sostanza secca,%,T2,Slide 12,Raccolta commerciale,2023,42
Kiwi 1,2023-10-10,55.00,Calibro del frutto,mm,T0,Slide 9,,2023,42
Kiwi 1,2023-10-10,55.30,Calibro del frutto,mm,T1,Slide 9,,2023,42
Kiwi 1,2023-10-10,55.30,Calibro del frutto,mm,T2,Slide 9,,2023,42
Kiwi 1,2023-10-10,143.00,Peso,g/frutto,T0,Slide 9,,2023,42
Kiwi 1,2023-10-10,143.00,Peso,g/frutto,T1,Slide 9,,2023,42
Kiwi 1,2023-10-10,155.00,Peso,g/frutto,T2,Slide 9,,2023,42
Kiwi 1,2023-10-10,17.40,Sostanza secca,%,T0,Slide 9,,2023,42
Kiwi 1,2023-10-10,18.20,Sostanza secca,%,T1,Slide 9,,2023,42
Kiwi 1,2023-10-10,17.20,Sostanza secca,%,T2,Slide 9,,2023,42
Kiwi 1,2023-12-20,0.69,Durezza,Kg FTA,T0,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,0.68,Durezza,Kg FTA,T1,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,0.76,Durezza,Kg FTA,T2,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,17.00,"Durezza (Normale, ≥ 0.8)",%,T0,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,25.00,"Durezza (Normale, ≥ 0.8)",%,T1,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,15.00,"Durezza (Normale, ≥ 0.8)",%,T2,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,83.00,"Durezza (Soft, <0,8 and ≥ 0,2 kg)",%,T0,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,75.00,"Durezza (Soft, <0,8 and ≥ 0,2 kg)",%,T1,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,85.00,"Durezza (Soft, <0,8 and ≥ 0,2 kg)",%,T2,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,0.00,"Durezza (Sovra maturo, < 0,2)",%,T0,Slide 13.1,2 mesi di frigo + 24h,2023,52
